County,China_National_Party,Democratic_Progressive_Party,Other
台北市,21.9,37.64,39.79
新北市,22.37,36.73,40.26
基隆市,21.52,30.84,47.01
宜蘭縣,19.51,47.3,33.05
桃園市,22.15,31.72,43.83
新竹縣,20.69,24.25,51.58
新竹市,22.4,33.97,42.83
苗栗縣,22.2,26.81,49.54
台中市,21.19,36.86,41.37
彰化縣,25.71,40.05,33.71
南投縣,18.15,34.49,46.94
雲林縣,24.78,45.99,27.7
嘉義縣,23.06,49.49,26.98
嘉義市,23.24,47.01,29.34
台南市,25.93,45.06,27.53
高雄市,23.97,45.79,29.78
屏東縣,27.73,45.28,25.48
花蓮縣,19.28,21.24,58.81
台東縣,23.66,23.2,52.78
澎湖縣,23.25,36.79,39.55
金門縣,14.5,3.11,81.81
連江縣,24.43,1.8,73.31
