County,China_National_Party,Democratic_Progressive_Party,Other
台北市,56.53,43.47,n
新北市,53.06,46.94,n
基隆市,59.44,40.56,n
宜蘭縣,42.39,57.71,n
桃園市,55.32,44.68,n
新竹縣,64.07,35.93,n
新竹市,55.12,44.88,n
苗栗縣,60.76,39.24,n
台中市,52.66,47.34,n
彰化縣,47.74,52.26,n
南投縣,51.25,48.75,n
雲林縣,39.68,60.32,n
嘉義縣,37.21,62.79,n
嘉義市,43.94,56.06,n
台南市,42.23,57.77,n
高雄市,44.37,55.64,n
屏東縣,41.89,58.11,n
花蓮縣,70.21,29.79,n
台東縣,65.32,34.48,n
澎湖縣,50.53,49.47,n
金門縣,93.54,6.45,n
連江縣,94.24,5.76,n
