County,China_National_Party,Democratic_Progressive_Party,Other
台北市,57.87,39.54,2.58
新北市,53.73,43.46,2.81
基隆市,59.29,36.77,3.94
宜蘭縣,44.89,52.53,2.58
桃園市,57.2,39.85,2.95
新竹縣,65.76,30.93,3.31
新竹市,57.43,39.49,3.08
苗栗縣,63.85,33.18,2.97
台中市,52.16,44.68,3.16
彰化縣,50.58,46.49,2.93
南投縣,54.63,42.37,3
雲林縣,41.67,55.81,2.51
嘉義縣,39.04,58.58,2.38
嘉義市,46.27,51.04,2.69
台南市,39.8,57.72,2.48
高雄市,44.19,53.42,2.39
屏東縣,42.93,55.13,1.94
花蓮縣,70.3,25.94,3.02
台東縣,66.47,30.5,3.76
澎湖縣,49.75,45.65,4.58
金門縣,89.23,8.21,2.54
連江縣,86.6,8.03,5.36
