County,China_National_Party,Democratic_Progressive_Party,Other
台北市,63.03,36.97,n
新北市,61.06,38.94,n
基隆市,67.73,32.27,n
宜蘭縣,51.42,48.58,n
桃園市,64.64,35.36,n
新竹縣,74.02,25.98,n
新竹市,64.7,35.3,n
苗栗縣,70.99,29.01,n
台中市,61.74,38.26,n
彰化縣,57.59,42.41,n
南投縣,62.03,37.97,n
雲林縣,48.47,51.53,n
嘉義縣,45.56,54.44,n
嘉義市,52.39,47.61,n
台南市,50.71,49.29,n
高雄市,51.59,48.41,n
屏東縣,49.75,50.25,n
花蓮縣,73.32,26.68,n
台東縣,77.48,22.52,n
澎湖縣,57.93,42.07,n
金門縣,95.13,4.87,n
連江縣,95.16,4.84,n
